id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,RW Length,# RW,# Freq,# Routes,is Hub,Slots ,Passengers/DAY,Passenger factor,Randomizer,Boarding new Passengers,,,
3384,KATL,large_airport,Hartsfield Jackson Atlanta International Airport,33.63669968,-84.42810059,1026,NA,US,US-GA,Atlanta,KATL,ATL,11890,5,9,910,1,24,2000,130,114,106166,,103902992,284665.7315
3754,KORD,large_airport,Chicago O'Hare International Airport,41.97859955,-87.90480042,672,NA,US,US-IL,Chicago,KORD,ORD,13000,9,9,558,1,35,2000,79.71428571,101,76392,,,
2434,EGLL,large_airport,London Heathrow Airport,51.4706,-0.461941,83,EU,GB,GB-ENG,London,EGLL,LHR,12799,2,15,527,1,19,2000,75.28571429,80,69639,,,
4185,LFPG,large_airport,Charles de Gaulle International Airport,49.01279831,2.549999952,392,EU,FR,FR-J,Paris,LFPG,CDG,13829,4,9,524,1,23,2000,74.85714286,90,56142,,,
2212,EDDF,large_airport,Frankfurt am Main Airport,50.033333,8.570556,364,EU,DE,DE-HE,Frankfurt am Main,EDDF,FRA,13123,4,9,496,1,23,2000,70.85714286,118,62000,,,
3632,KLAX,large_airport,Los Angeles International Airport,33.94250107,-118.4079971,125,NA,US,US-CA,Los Angeles,KLAX,LAX,12091,4,11,492,1,22,2000,70.28571429,98,51542,,,
3488,KDFW,large_airport,Dallas Fort Worth International Airport,32.89680099,-97.03800201,607,NA,US,US-TX,Dallas-Fort Worth,KDFW,DFW,13401,7,9,469,1,30,2000,67,117,48016,,,
3622,KJFK,large_airport,John F Kennedy International Airport,40.63980103,-73.77890015,13,NA,US,US-NY,New York,KJFK,JFK,14572,4,10,456,1,24,2000,65.14285714,89,59171,,,
2513,EHAM,large_airport,Amsterdam Airport Schiphol,52.30860138,4.76388979,-11,EU,NL,NL-NH,Amsterdam,EHAM,AMS,12467,6,6,453,1,26,2000,64.71428571,85,57164,,,
4004,LEBL,large_airport,Barcelona International Airport,41.29710007,2.078459978,12,EU,ES,ES-CT,Barcelona,LEBL,BCN,11654,3,5,391,1,18,2000,55.85714286,105,40030,,,
5653,RKSI,large_airport,Incheon International Airport,37.46910095,126.4509964,23,AS,KR,KR-28,Seoul,RKSI,ICN,13000,3,7,370,1,20,2000,52.85714286,111,40523,,,
2218,EDDM,large_airport,Munich Airport,48.353802,11.7861,1487,EU,DE,DE-BY,Munich,EDDM,MUC,13123,2,12,368,1,18,2000,52.57142857,120,41619,,,
3685,KMIA,large_airport,Miami International Airport,25.79319954,-80.29060364,8,NA,US,US-FL,Miami,KMIA,MIA,13000,4,7,368,1,22,2000,52.57142857,84,45123,,,
3486,KDEN,large_airport,Denver International Airport,39.86169815,-104.6729965,5431,NA,US,US-CO,Denver,KDEN,DEN,16000,6,8,361,1,30,2000,51.57142857,112,48992,,,
4528,LTBA,large_airport,Atat├╝rk International Airport,40.97689819,28.81459999,163,EU,TR,TR-34,Istanbul,LTBA,IST,9843,3,6,358,1,17,2000,51.14285714,88,39635,,,
2429,EGKK,large_airport,London Gatwick Airport,51.14810181,-0.190277994,202,EU,GB,GB-ENG,London,EGKK,LGW,10364,2,5,356,1,14,2000,50.85714286,91,46195,,,
